City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,-2.66,62,100,5.66,SJ,1707687866
1,yuzhno-kurilsk,44.0306,145.8556,-7.57,81,63,2.43,RU,1707687866
2,belleville,44.1788,-77.3705,2.92,69,100,5.14,CA,1707687673
3,cabo san lucas,22.8909,-109.9124,23.2,54,20,3.09,MX,1707687333
4,port-aux-francais,-49.35,70.2167,6.94,84,100,11.52,TF,1707687866
5,edinburgh of the seven seas,-37.0676,-12.3116,17.52,74,37,7.76,SH,1707687866
6,thiers,45.8333,3.5,6.18,90,65,1.5,FR,1707687867
7,merced,37.1666,-120.7516,15.69,62,90,1.22,US,1707687867
8,blackmans bay,-43.0167,147.3167,17.07,76,100,0.56,AU,1707687867
9,grytviken,-54.2811,-36.5092,4.33,85,18,4.92,GS,1707687867
10,zaozersk,69.4005,32.4476,-18.94,95,100,1.99,RU,1707687867
11,tocopilla,-22.092,-70.1979,23.42,71,99,3.87,CL,1707687867
12,tiksi,71.6872,128.8694,-34.75,100,100,0.89,RU,1707687867
13,avarua,-21.2078,-159.775,28.03,74,75,8.23,CK,1707687867
14,menaka,15.9182,2.4022,25.16,8,0,2.69,ML,1707687867
15,bethel,41.3712,-73.414,8.45,62,100,1.34,US,1707687800
16,nadym,65.5333,72.5167,-24.03,94,97,6.43,RU,1707687867
17,sisimiut,66.9395,-53.6735,-22.6,90,64,3.76,GL,1707687868
18,yellowknife,62.456,-114.3525,-4.84,82,20,2.06,CA,1707687724
19,fortuna,40.5982,-124.1573,15.55,80,40,0.89,US,1707687648
20,puerto natales,-51.7236,-72.4875,9.25,66,75,10.29,CL,1707687868
21,puerto ayora,-0.7393,-90.3518,29.98,90,49,3.13,EC,1707687868
22,stanley,54.868,-1.6985,4.01,94,20,5.66,GB,1707687617
23,haimen,23.1935,116.6142,6.94,67,6,7.32,CN,1707687868
24,kurtamysh,54.9103,64.4319,-18.02,92,8,4.47,RU,1707687846
25,thompson,55.7435,-97.8558,-9.91,85,100,1.54,CA,1707687868
26,ushuaia,-54.8,-68.3,8.81,71,75,11.32,AR,1707687868
27,hithadhoo,-0.6,73.0833,27.4,76,34,3.6,MV,1707687869
28,isafjordur,66.0755,-23.124,1.75,75,57,13.11,IS,1707687869
29,tome,-36.6167,-72.95,18.34,61,100,4.66,CL,1707687869
30,udachny,66.4167,112.4,-31.03,97,100,3.23,RU,1707687573
31,vilyuchinsk,52.9306,158.4028,-16.71,85,8,3.42,RU,1707687869
32,embi,48.8264,58.1442,-22.45,89,53,2.25,KZ,1707687869
33,scottburgh,-30.2867,30.7532,21.22,78,100,3.45,ZA,1707687869
34,deqen,29.9618,90.7188,-4.67,50,100,1.51,CN,1707687869
35,xai-xai,-25.0519,33.6442,24.35,62,43,4.36,MZ,1707687869
36,bilibino,68.0546,166.4372,-40.48,100,69,1.21,RU,1707687870
37,waitangi,-43.9535,-176.5597,14.34,72,95,1.79,NZ,1707687870
38,laramie,41.3114,-105.5911,-1.79,44,0,4.47,US,1707687870
39,auki,-8.7676,160.7034,27.18,86,79,5.17,SB,1707687870
40,gisborne,-38.6533,178.0042,18.55,41,0,1.84,NZ,1707687870
41,anadyr,64.75,177.4833,-24.72,77,0,7.0,RU,1707687870
42,hamilton,39.1834,-84.5333,10.69,60,0,4.63,US,1707687627
43,ribeira grande,38.5167,-28.7,17.65,88,40,12.07,PT,1707687870
44,genhe,50.7833,121.5167,-21.12,100,98,0.91,CN,1707687870
45,west island,-12.1568,96.8225,26.99,83,40,2.06,CC,1707687870
46,laguna,38.421,-121.4238,16.17,60,0,2.57,US,1707687871
47,tual,-5.6667,132.75,28.85,77,82,6.24,ID,1707687871
48,kirensk,57.7853,108.1119,-13.35,90,95,3.58,RU,1707687871
49,sitka,57.0531,-135.33,5.94,65,100,5.66,US,1707687871
50,yeppoon,-23.1333,150.7333,24.88,76,64,7.09,AU,1707687871
51,kapa'a,22.0752,-159.319,26.38,70,75,3.6,US,1707687871
52,varginha,-21.5514,-45.4303,21.39,83,82,2.48,BR,1707687871
53,sao gabriel da cachoeira,-0.1303,-67.0892,26.38,92,99,1.36,BR,1707687871
54,aflao,6.116,1.1914,29.07,89,20,3.6,TG,1707687871
55,vorgashor,67.5833,63.95,-31.93,100,100,2.13,RU,1707687872
56,dolinsk,47.35,142.8,-19.04,87,12,3.49,RU,1707687872
57,tindouf,27.6711,-8.1474,22.25,21,0,2.06,DZ,1707687872
58,tuy hoa,13.0833,109.3,20.97,87,97,5.68,VN,1707687872
59,tanumah,27.1,44.1333,11.99,71,62,6.85,SA,1707687872
60,codrington,-38.2667,141.9667,18.18,81,3,2.26,AU,1707687872
61,jamestown,42.097,-79.2353,1.77,81,100,1.79,US,1707687872
62,wailua homesteads,22.0669,-159.378,25.63,70,75,3.6,US,1707687872
63,muroto-misakicho,33.2833,134.15,4.32,62,11,3.44,JP,1707687872
64,boa vista,2.8197,-60.6733,33.99,33,20,8.23,BR,1707687872
65,castillos,-34.1667,-53.8333,27.46,64,0,5.73,UY,1707687872
66,bela,25.9333,81.9833,12.31,55,0,2.26,IN,1707687872
67,saipan,15.1355,145.701,25.39,78,40,5.14,MP,1707687873
68,coquimbo,-29.9533,-71.3436,20.85,73,20,5.66,CL,1707687795
69,gunupur,19.0833,83.8167,19.44,79,63,0.36,IN,1707687873
70,st. john's,47.5649,-52.7093,2.66,89,100,2.06,CA,1707687620
71,savelugu,9.6244,-0.8253,30.36,10,2,0.48,GH,1707687873
72,wanning,18.8003,110.3967,18.01,77,73,2.2,CN,1707687873
73,utrik,11.2278,169.8474,26.15,76,100,10.51,MH,1707687873
74,manokwari,-0.8667,134.0833,25.62,79,84,2.34,ID,1707687873
75,invercargill,-46.4,168.35,13.9,78,100,3.13,NZ,1707687873
76,klyuchi,52.2667,79.1667,-13.47,87,86,7.45,RU,1707687873
77,margate,51.3813,1.3862,7.72,85,22,1.34,GB,1707687617
78,palikir - national government center,6.9248,158.1611,28.47,74,100,7.72,FM,1707687874
79,malango,-2.9627,119.9001,20.33,98,100,1.25,ID,1707687874
80,viedma,-40.8135,-62.9967,35.4,13,8,8.55,AR,1707687874
81,polyarnyy,69.1989,33.4478,-16.62,95,100,2.71,RU,1707687874
82,kone,-21.0595,164.8658,28.72,71,1,0.98,NC,1707687874
83,hadibu,12.65,54.0333,24.6,77,25,3.62,YE,1707687874
84,belmonte mezzagno,38.0457,13.3947,11.75,86,61,5.07,IT,1707687874
85,pass christian,30.3158,-89.2475,23.4,88,100,4.12,US,1707687874
86,broome,42.2506,-75.833,4.23,81,100,4.12,US,1707687874
87,lib,8.3122,167.3766,27.01,75,100,11.26,MH,1707687874
88,sault ste. marie,46.5168,-84.3333,-0.84,81,100,4.63,CA,1707687673
89,longyearbyen,78.2186,15.6401,-6.09,73,75,6.69,SJ,1707687875
90,tema,5.667,-0.0166,29.23,89,20,5.14,GH,1707687875
91,adamstown,-25.066,-130.1015,24.97,89,58,9.87,PN,1707687875
92,menongue,-14.6585,17.691,20.22,76,33,1.93,AO,1707687875
93,bredasdorp,-34.5322,20.0403,18.8,83,51,3.11,ZA,1707687875
94,turpan,42.9333,89.1667,2.29,62,3,0.65,CN,1707687875
95,flying fish cove,-10.4217,105.6791,28.31,65,94,2.51,CX,1707687875
96,talnakh,69.4865,88.3972,-35.06,90,16,1.68,RU,1707687875
97,port isabel,26.0734,-97.2086,28.05,61,0,4.63,US,1707687875
98,hawaiian paradise park,19.5933,-154.9731,25.57,86,100,3.09,US,1707687875
99,sirte,31.2089,16.5887,17.17,67,100,6.17,LY,1707687876
100,midvagur,62.0511,-7.1939,5.46,93,75,5.14,FO,1707687876
101,rokycany,49.7427,13.5946,7.15,94,100,28.16,CZ,1707687876
102,tangalle,6.024,80.7911,25.09,78,41,5.27,LK,1707687876
103,georgetown,5.4112,100.3354,26.96,72,20,4.12,MY,1707687749
104,knyaze-volkonskoye,48.4642,135.4567,-11.81,98,100,3.58,RU,1707687876
105,lebu,-37.6167,-73.65,16.37,77,78,7.68,CL,1707687876
106,alice springs,-23.7,133.8833,25.68,64,40,0.0,AU,1707687876
107,ghat,24.9647,10.1728,20.41,18,5,3.93,LY,1707687876
108,brookings,44.3114,-96.7984,6.17,60,0,7.72,US,1707687747
109,kailua-kona,19.6406,-155.9956,26.39,75,0,4.12,US,1707687876
110,san patricio,28.017,-97.5169,27.97,38,0,8.76,US,1707687876
111,laascaanood,8.4774,47.3597,21.69,58,62,3.37,SO,1707687877
112,tazovsky,67.4667,78.7,-31.4,97,100,2.59,RU,1707687877
113,labytnangi,66.6572,66.4183,-29.46,89,21,3.11,RU,1707687877
114,atafu village,-8.5421,-172.5159,28.65,76,100,3.24,TK,1707687877
115,mount pleasant,32.7941,-79.8626,21.67,82,100,4.63,US,1707687877
116,nar'yan-mar,67.6713,53.087,-30.5,100,59,1.79,RU,1707687877
117,margaret river,-33.95,115.0667,17.42,77,1,7.3,AU,1707687877
118,masindi,1.6744,31.715,22.98,61,47,0.55,UG,1707687877
119,mili,6.0815,171.735,26.45,88,88,10.56,MH,1707687877
